Suburb,Site,Exposure period,Notes,Date added,Health advice
Epping,Epping North Shopping Centre 2 Lyndarum Drive Epping VIC 3076,22/05/2021 4:45pm - 5:50pm,Case attended venue,24/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Epping,House and Party (store) 2 Lyndarum Drive Epping VIC 3076,22/05/2021 5:15pm - 5:50pm,Case attended venue,24/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Epping,JMD Grocers & Sweets 768 High Street Epping VIC 3076,17/05/2021 10:30am - 1:00pm,Case attended venue,24/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Epping,"Nando's Epping (Dalton Rd) Shop 17 Dalton Village, 351-371 Dalton Road Epping VIC 3076",19/05/2021 8:30pm - 9:20pm,Case attended venue,24/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Epping,The Furniture Trader 102-120 Cooper Street Epping VIC 3076,18/05/2021 12:00pm - 12:50pm,Case attended venue,24/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Epping,"Urban Diner Food Court, Pacific Epping Shopping Centre 571-583 High Street Epping VIC 3076",23/05/2021 1:15pm - 2:30pm,Case attended Urban Diner Food Court - inside location (not outside dining precinct with individual restaurants),24/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Epping,Woolworths Epping Shop Number Q003. Pacific Epping Cooper Street & High street Epping VIC 3076,20/05/2021 6:25pm - 7:15pm,Case attended venue,26/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Epping,"Woolworths Epping North Shop 13, 2 Lyndarum Drive Epping VIC 3076",22/05/2021 4:45pm - 5:45pm,Case attended venue,24/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Epping,The Grande Reception & Function Centre 6-8 Helm Court Epping VIC 3076,22/05/2021 6:30pm - 11:45pm,Case attended venue,28/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Epping,Epping Spices & Nuts Grocery Store 6/1 Lyndarum Drive Epping VIC 3076,22/05/2021 9:00am - 9:00pm,Case attended venue,28/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Epping,Epping Spices & Nuts Grocery Store 6/1 Lyndarum Drive Epping VIC 3076,24/05/2021 9:00am - 9:00pm,Case attended venue,28/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Epping,Epping Spices & Nuts Grocery Store 6/1 Lyndarum Drive Epping VIC 3076,25/05/2021 9:00am - 9:00pm,Case attended venue,28/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Epping,Epping Spices & Nuts Grocery Store 6/1 Lyndarum Drive Epping VIC 3076,26/05/2021 9:00am - 9:00pm,Case attended venue,28/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Epping,Khalsa Sweets and Snacks 3 Annalise Avenue Epping VIC 3076,18/05/2021 12:20pm - 1:10pm,Case attended venue,28/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Epping,"Indiagate Spices and Groceries Unit 14C, 560-590 High Street Epping VIC 3076",19/05/2021 9:45am - 10:30am,Case attended venue,28/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Epping,"Pacific Epping Plaza - Cotton On, Edge, Valleygirl, Supre and Boost Juice 571 - 583 High Street Epping VIC 3076",25/05/2021 10:05am - 11:45am,Case walked around venue and attended multiple shops,29/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Epping,Pacific Epping Plaza 571 - 583 High Street Epping VIC 3076,25/05/2021 10:05am - 11:45am,Case attended venue,29/05/2021,"Anyone who has visited this location during these times should monitor for symptoms - If symptoms develop, immediately get tested and isolate until you receive a negative result."
Epping,Kmart Epping Epping Plaza Shopping Center. Cnr High & Cooper Street Epping VIC 3076,22/05/2021 4:40pm - 5:30pm,Case attended venue,30/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Epping,Kmart Epping Epping Plaza Shopping Center. Cnr High & Cooper Street Epping VIC 3076,26/05/2021 3:20pm - 4:10pm,Case attended venue,30/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Epping,"Coles Epping Plaza Shop Q002, Epping Plaza, High Street Epping VIC 3076",24/05/2021 3:15pm - 4:15pm,Case attended venue,30/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Epping,"Coles Epping Plaza Shop Q002, Epping Plaza, High Street Epping VIC 3076",19/05/2021 2:50pm - 3:20pm,Case attended,30/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Epping,Chemist Warehouse (Epping Homemaker Center) 560-650 High Street Epping VIC 3076,17/05/2021 6:55pm - 7:37pm,Case attended venue,30/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Epping,Chemist Warehouse (Epping Homemaker Center) 560-650 High Street Epping VIC 3076,18/05/2021 6:30pm - 7:10pm,Case attended venue,30/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Epping,Walker's Donuts Epping (Pacific Epping Shopping Centre) 571-583 High Street Epping VIC 3076,19/05/2021 3:00pm - 3:40pm,Case attended,30/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Epping,Commonwealth Bank Australia (CBA) Epping Branch 83-84 Cooper Street & High Street Epping VIC 3076,22/05/2021 11:15pm - 11:55pm,Case visited,30/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Epping,MKS Spices'n Things Epping 1/84-88 Coopers Street Epping VIC 3076,24/05/2021 3:35pm - 4:20pm,Case shopped,30/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Epping,Coles Epping Plaza Shop Q002. High Street Epping VIC 3076,24/05/2021 3:15pm - 4:15pm,Case attend venue,30/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
